group,stage,date,time_msk,home_team,away_team,match
Группа A,Тур 1,11.06.2026,22:00,Мексика,ЮАР,Мексика — ЮАР
Группа A,Тур 1,12.06.2026,05:00,Южная Корея,Чехия,Южная Корея — Чехия
Группа B,Тур 1,12.06.2026,22:00,Канада,Босния и Герцеговина,Канада — Босния и Герцеговина
Группа D,Тур 1,13.06.2026,04:00,США,Парагвай,США — Парагвай
Группа B,Тур 1,13.06.2026,22:00,Катар,Швейцария,Катар — Швейцария
Группа C,Тур 1,14.06.2026,01:00,Бразилия,Марокко,Бразилия — Марокко
Группа C,Тур 1,14.06.2026,04:00,Гаити,Шотландия,Гаити — Шотландия
Группа D,Тур 1,14.06.2026,07:00,Австралия,Турция,Австралия — Турция
Группа E,Тур 1,14.06.2026,20:00,Германия,Кюрасао,Германия — Кюрасао
Группа F,Тур 1,14.06.2026,23:00,Нидерланды,Япония,Нидерланды — Япония
Группа E,Тур 1,15.06.2026,02:00,Кот-д'Ивуар,Эквадор,Кот-д'Ивуар — Эквадор
Группа F,Тур 1,15.06.2026,05:00,Швеция,Тунис,Швеция — Тунис
Группа H,Тур 1,15.06.2026,19:00,Испания,Кабо-Верде,Испания — Кабо-Верде
Группа G,Тур 1,15.06.2026,22:00,Бельгия,Египет,Бельгия — Египет
Группа H,Тур 1,16.06.2026,01:00,Саудовская Аравия,Уругвай,Саудовская Аравия — Уругвай
Группа G,Тур 1,16.06.2026,04:00,Иран,Новая Зеландия,Иран — Новая Зеландия
Группа I,Тур 1,16.06.2026,22:00,Франция,Сенегал,Франция — Сенегал
Группа I,Тур 1,17.06.2026,01:00,Ирак,Норвегия,Ирак — Норвегия
Группа J,Тур 1,17.06.2026,04:00,Аргентина,Алжир,Аргентина — Алжир
Группа J,Тур 1,17.06.2026,07:00,Австрия,Иордания,Австрия — Иордания
Группа K,Тур 1,17.06.2026,20:00,Португалия,ДР Конго,Португалия — ДР Конго
Группа L,Тур 1,17.06.2026,23:00,Англия,Хорватия,Англия — Хорватия
Группа L,Тур 1,18.06.2026,02:00,Гана,Панама,Гана — Панама
Группа K,Тур 1,18.06.2026,05:00,Узбекистан,Колумбия,Узбекистан — Колумбия
Группа A,Тур 2,18.06.2026,19:00,Чехия,ЮАР,Чехия — ЮАР
Группа B,Тур 2,18.06.2026,22:00,Швейцария,Босния и Герцеговина,Швейцария — Босния и Герцеговина
Группа B,Тур 2,19.06.2026,01:00,Канада,Катар,Канада — Катар
Группа A,Тур 2,19.06.2026,04:00,Мексика,Южная Корея,Мексика — Южная Корея
Группа D,Тур 2,19.06.2026,22:00,США,Австралия,США — Австралия
Группа C,Тур 2,20.06.2026,01:00,Шотландия,Марокко,Шотландия — Марокко
Группа C,Тур 2,20.06.2026,04:00,Бразилия,Гаити,Бразилия — Гаити
Группа D,Тур 2,20.06.2026,06:00,Турция,Парагвай,Турция — Парагвай
Группа F,Тур 2,20.06.2026,20:00,Нидерланды,Швеция,Нидерланды — Швеция
Группа E,Тур 2,20.06.2026,23:00,Германия,Кот-д'Ивуар,Германия — Кот-д'Ивуар
Группа E,Тур 2,21.06.2026,03:00,Эквадор,Кюрасао,Эквадор — Кюрасао
Группа F,Тур 2,21.06.2026,07:00,Тунис,Япония,Тунис — Япония
Группа H,Тур 2,21.06.2026,19:00,Испания,Саудовская Аравия,Испания — Саудовская Аравия
Группа G,Тур 2,21.06.2026,22:00,Бельгия,Иран,Бельгия — Иран
Группа H,Тур 2,22.06.2026,01:00,Уругвай,Кабо-Верде,Уругвай — Кабо-Верде
Группа G,Тур 2,22.06.2026,04:00,Новая Зеландия,Египет,Новая Зеландия — Египет
Группа J,Тур 2,22.06.2026,20:00,Аргентина,Австрия,Аргентина — Австрия
Группа I,Тур 2,23.06.2026,00:00,Франция,Ирак,Франция — Ирак
Группа I,Тур 2,23.06.2026,03:00,Норвегия,Сенегал,Норвегия — Сенегал
Группа J,Тур 2,23.06.2026,06:00,Иордания,Алжир,Иордания — Алжир
Группа K,Тур 2,23.06.2026,20:00,Португалия,Узбекистан,Португалия — Узбекистан
Группа L,Тур 2,23.06.2026,23:00,Англия,Гана,Англия — Гана
Группа L,Тур 2,24.06.2026,02:00,Панама,Хорватия,Панама — Хорватия
Группа K,Тур 2,24.06.2026,05:00,Колумбия,ДР Конго,Колумбия — ДР Конго
Группа B,Тур 3,24.06.2026,22:00,Швейцария,Канада,Швейцария — Канада
Группа B,Тур 3,24.06.2026,22:00,Босния и Герцеговина,Катар,Босния и Герцеговина — Катар
Группа C,Тур 3,25.06.2026,01:00,Марокко,Гаити,Марокко — Гаити
Группа C,Тур 3,25.06.2026,01:00,Шотландия,Бразилия,Шотландия — Бразилия
Группа A,Тур 3,25.06.2026,04:00,Чехия,Мексика,Чехия — Мексика
Группа A,Тур 3,25.06.2026,04:00,ЮАР,Южная Корея,ЮАР — Южная Корея
Группа E,Тур 3,25.06.2026,23:00,Кюрасао,Кот-д'Ивуар,Кюрасао — Кот-д'Ивуар
Группа E,Тур 3,25.06.2026,23:00,Эквадор,Германия,Эквадор — Германия
Группа F,Тур 3,26.06.2026,02:00,Япония,Швеция,Япония — Швеция
Группа F,Тур 3,26.06.2026,02:00,Тунис,Нидерланды,Тунис — Нидерланды
Группа D,Тур 3,26.06.2026,05:00,Турция,США,Турция — США
Группа D,Тур 3,26.06.2026,05:00,Парагвай,Австралия,Парагвай — Австралия
Группа I,Тур 3,26.06.2026,22:00,Норвегия,Франция,Норвегия — Франция
Группа I,Тур 3,26.06.2026,22:00,Сенегал,Ирак,Сенегал — Ирак
Группа H,Тур 3,27.06.2026,03:00,Кабо-Верде,Саудовская Аравия,Кабо-Верде — Саудовская Аравия
Группа H,Тур 3,27.06.2026,03:00,Уругвай,Испания,Уругвай — Испания
Группа G,Тур 3,27.06.2026,06:00,Новая Зеландия,Бельгия,Новая Зеландия — Бельгия
Группа G,Тур 3,27.06.2026,06:00,Египет,Иран,Египет — Иран
Группа L,Тур 3,28.06.2026,00:00,Панама,Англия,Панама — Англия
Группа L,Тур 3,28.06.2026,00:00,Хорватия,Гана,Хорватия — Гана
Группа K,Тур 3,28.06.2026,02:30,ДР Конго,Узбекистан,ДР Конго — Узбекистан
Группа K,Тур 3,28.06.2026,02:30,Колумбия,Португалия,Колумбия — Португалия
Группа J,Тур 3,28.06.2026,05:00,Иордания,Аргентина,Иордания — Аргентина
Группа J,Тур 3,28.06.2026,05:00,Алжир,Австрия,Алжир — Австрия
